date,perc_taxes
2007-06-19,78.06%
2007-06-20,16.29%
2007-06-21,48.06%
2007-06-22,25.31%
2007-06-25,11.13%
2007-06-26,69.71%
2007-06-27,24.13%
2007-06-28,41.00%
2007-06-29,137.95%
2007-07-02,4.21%
2007-07-03,36.41%
2007-07-05,14.35%
2007-07-06,27.44%
2007-07-09,10.66%
2007-07-10,73.14%
2007-07-11,20.50%
2007-07-12,55.74%
2007-07-13,12.38%
2007-07-16,3.45%
2007-07-17,42.84%
2007-07-18,15.24%
2007-07-19,49.81%
2007-07-20,24.30%
2007-07-23,10.61%
2007-07-24,99.81%
2007-07-25,21.89%
2007-07-26,48.62%
2007-07-27,17.22%
2007-07-30,9.72%
2007-07-31,32.82%
2007-08-01,81.65%
2007-08-02,20.42%
2007-08-03,15.09%
2007-08-06,9.45%
2007-08-07,82.16%
2007-08-08,17.01%
2007-08-09,89.34%
2007-08-10,20.17%
2007-08-13,7.47%
2007-08-14,31.38%
2007-08-15,10.30%
2007-08-16,10.65%
2007-08-17,24.74%
2007-08-20,10.03%
2007-08-21,84.54%
2007-08-22,19.90%
2007-08-23,56.01%
2007-08-24,25.86%
2007-08-27,9.33%
2007-08-28,126.18%
2007-08-29,14.99%
2007-08-30,54.69%
2007-08-31,168.18%
2007-09-04,5.56%
2007-09-05,39.54%
2007-09-06,14.67%
2007-09-07,26.36%
2007-09-10,8.67%
2007-09-11,55.71%
2007-09-12,15.05%
2007-09-13,27.37%
2007-09-14,5.98%
2007-09-17,0.94%
2007-09-18,28.04%
2007-09-19,16.74%
2007-09-20,55.31%
2007-09-21,23.41%
2007-09-24,11.23%
2007-09-25,94.78%
2007-09-26,19.35%
2007-09-27,47.40%
2007-09-28,12.41%
2007-10-01,58.23%
2007-10-02,34.63%
2007-10-03,16.93%
2007-10-04,53.84%
2007-10-05,17.85%
2007-10-09,9.55%
2007-10-10,64.99%
2007-10-11,19.30%
2007-10-12,20.27%
2007-10-15,4.41%
2007-10-16,14.99%
2007-10-17,23.89%
2007-10-18,60.48%
2007-10-19,15.87%
2007-10-22,10.09%
2007-10-23,103.64%
2007-10-24,22.03%
2007-10-25,43.26%
2007-10-26,19.82%
2007-10-29,9.23%
2007-10-30,73.09%
2007-10-31,17.71%
2007-11-01,66.00%
2007-11-02,13.04%
2007-11-05,7.62%
2007-11-06,61.90%
2007-11-07,14.74%
2007-11-08,44.03%
2007-11-09,18.68%
2007-11-13,10.24%
2007-11-14,32.99%
2007-11-15,15.38%
2007-11-16,10.26%
2007-11-19,10.50%
2007-11-20,73.02%
2007-11-21,17.11%
2007-11-23,16.15%
2007-11-26,15.30%
2007-11-27,90.10%
2007-11-28,35.48%
2007-11-29,31.83%
2007-11-30,152.58%
2007-12-03,4.94%
2007-12-04,56.37%
2007-12-05,16.02%
2007-12-06,32.69%
2007-12-07,14.88%
2007-12-10,5.18%
2007-12-11,36.13%
2007-12-12,20.44%
2007-12-13,25.87%
2007-12-14,5.99%
2007-12-17,0.96%
2007-12-18,38.26%
2007-12-19,15.12%
2007-12-20,34.04%
2007-12-21,14.43%
2007-12-24,6.75%
2007-12-26,30.20%
2007-12-27,28.40%
2007-12-28,16.29%
2007-12-31,5.71%
2008-01-02,59.99%
2008-01-03,19.75%
2008-01-04,16.91%
2008-01-07,9.26%
2008-01-08,18.93%
2008-01-09,14.07%
2008-01-10,35.64%
2008-01-11,17.63%
2008-01-14,6.95%
2008-01-15,8.78%
2008-01-16,5.24%
2008-01-17,34.06%
2008-01-18,13.53%
2008-01-22,10.84%
2008-01-23,61.89%
2008-01-24,26.91%
2008-01-25,22.82%
2008-01-28,8.66%
2008-01-29,34.64%
2008-01-30,17.10%
2008-01-31,17.54%
2008-02-01,62.63%
2008-02-04,6.89%
2008-02-05,54.02%
2008-02-06,14.95%
2008-02-07,40.65%
2008-02-08,19.06%
2008-02-11,7.74%
2008-02-12,63.76%
2008-02-13,20.60%
2008-02-14,22.65%
2008-02-15,9.84%
2008-02-19,5.60%
2008-02-20,56.96%
2008-02-21,20.95%
2008-02-22,24.47%
2008-02-25,9.90%
2008-02-26,60.20%
2008-02-27,20.95%
2008-02-28,55.71%
2008-02-29,124.73%
2008-03-03,4.34%
2008-03-04,32.12%
2008-03-05,17.69%
2008-03-06,38.17%
2008-03-07,17.34%
2008-03-10,8.35%
2008-03-11,44.69%
2008-03-12,16.88%
2008-03-13,29.02%
2008-03-14,6.67%
2008-03-17,1.94%
2008-03-18,31.88%
2008-03-19,20.89%
2008-03-20,51.87%
2008-03-21,18.18%
2008-03-24,13.87%
2008-03-25,84.80%
2008-03-26,21.98%
2008-03-27,51.01%
2008-03-28,18.60%
2008-03-31,12.64%
2008-04-01,76.69%
2008-04-02,21.70%
2008-04-03,28.29%
2008-04-04,22.52%
2008-04-07,9.79%
2008-04-08,52.39%
2008-04-09,19.62%
2008-04-10,32.11%
2008-04-11,18.82%
2008-04-14,5.80%
2008-04-15,2.23%
2008-04-16,21.34%
2008-04-17,11.89%
2008-04-18,21.61%
2008-04-21,11.06%
2008-04-22,98.47%
2008-04-23,24.74%
2008-04-24,60.51%
2008-04-25,25.21%
2008-04-28,11.24%
2008-04-29,29.74%
2008-04-30,14.65%
2008-05-01,95.77%
2008-05-02,15.56%
2008-05-05,10.12%
2008-05-06,51.64%
2008-05-07,15.54%
2008-05-08,50.22%
2008-05-09,20.99%
2008-05-12,10.12%
2008-05-13,66.77%
2008-05-14,19.49%
2008-05-15,11.89%
2008-05-16,10.11%
2008-05-19,10.56%
2008-05-20,86.52%
2008-05-21,19.95%
2008-05-22,67.56%
2008-05-23,24.60%
2008-05-27,12.93%
2008-05-28,62.38%
2008-05-29,22.61%
2008-05-30,184.12%
2008-06-02,5.27%
2008-06-03,47.26%
2008-06-04,13.25%
2008-06-05,54.16%
2008-06-06,25.92%
2008-06-09,7.51%
2008-06-10,21.30%
2008-06-11,12.05%
2008-06-12,31.71%
2008-06-13,8.22%
2008-06-16,1.61%
2008-06-17,36.32%
2008-06-18,15.91%
2008-06-19,70.25%
2008-06-20,26.50%
2008-06-23,13.01%
2008-06-24,86.24%
2008-06-25,26.77%
2008-06-26,40.86%
2008-06-27,17.52%
2008-06-30,8.87%
2008-07-01,124.43%
2008-07-02,13.81%
2008-07-03,24.95%
2008-07-07,7.81%
2008-07-08,67.88%
2008-07-09,27.91%
2008-07-10,62.49%
2008-07-11,21.67%
2008-07-14,8.70%
2008-07-15,11.38%
2008-07-16,9.42%
2008-07-17,45.80%
2008-07-18,19.64%
2008-07-21,9.47%
2008-07-22,90.81%
2008-07-23,18.12%
2008-07-24,61.10%
2008-07-25,18.25%
2008-07-28,9.65%
2008-07-29,39.57%
2008-07-30,22.02%
2008-07-31,19.62%
2008-08-01,92.56%
2008-08-04,9.41%
2008-08-05,54.18%
2008-08-06,15.66%
2008-08-07,61.40%
2008-08-08,23.71%
2008-08-11,11.00%
2008-08-12,45.95%
2008-08-13,21.92%
2008-08-14,26.95%
2008-08-15,13.25%
2008-08-18,8.74%
2008-08-19,68.12%
2008-08-20,18.56%
2008-08-21,59.29%
2008-08-22,31.24%
2008-08-25,12.50%
2008-08-26,78.35%
2008-08-27,20.47%
2008-08-28,65.43%
2008-08-29,146.89%
2008-09-02,6.04%
2008-09-03,35.27%
2008-09-04,19.08%
2008-09-05,23.91%
2008-09-08,10.33%
2008-09-09,67.27%
2008-09-10,21.78%
2008-09-11,22.18%
2008-09-12,10.44%
2008-09-15,1.45%
2008-09-16,5.91%
2008-09-17,17.80%
2008-09-18,67.07%
2008-09-19,19.79%
2008-09-22,13.42%
2008-09-23,85.85%
2008-09-24,23.89%
2008-09-25,55.33%
2008-09-26,24.44%
2008-09-29,9.19%
2008-09-30,27.50%
2008-10-01,80.70%
2008-10-02,24.90%
2008-10-03,15.02%
2008-10-06,11.45%
2008-10-07,75.44%
2008-10-08,19.50%
2008-10-09,51.03%
2008-10-10,22.35%
2008-10-14,11.12%
2008-10-15,17.13%
2008-10-16,12.60%
2008-10-17,23.78%
2008-10-20,13.73%
2008-10-21,75.53%
2008-10-22,18.61%
2008-10-23,30.45%
2008-10-24,28.06%
2008-10-27,12.16%
2008-10-28,86.99%
2008-10-29,20.17%
2008-10-30,58.08%
2008-10-31,155.08%
2008-11-03,5.31%
2008-11-04,40.82%
2008-11-05,14.87%
2008-11-06,46.18%
2008-11-07,20.90%
2008-11-10,12.32%
2008-11-12,32.36%
2008-11-13,35.24%
2008-11-14,15.75%
2008-11-17,6.05%
2008-11-18,70.49%
2008-11-19,17.86%
2008-11-20,70.12%
2008-11-21,27.12%
2008-11-24,15.39%
2008-11-25,72.52%
2008-11-26,20.74%
2008-11-28,10.54%
2008-12-01,93.37%
2008-12-02,38.42%
2008-12-03,20.10%
2008-12-04,74.15%
2008-12-05,23.51%
2008-12-08,11.33%
2008-12-09,54.87%
2008-12-10,22.12%
2008-12-11,28.79%
2008-12-12,8.02%
2008-12-15,1.30%
2008-12-16,11.76%
2008-12-17,20.47%
2008-12-18,44.97%
2008-12-19,18.83%
2008-12-22,10.38%
2008-12-23,43.27%
2008-12-24,17.54%
2008-12-26,18.29%
2008-12-29,8.23%
2008-12-30,47.29%
2008-12-31,13.23%
2009-01-02,58.40%
2009-01-05,11.22%
2009-01-06,52.96%
2009-01-07,15.75%
2009-01-08,38.24%
2009-01-09,14.10%
2009-01-12,7.41%
2009-01-13,61.66%
2009-01-14,12.91%
2009-01-15,7.99%
2009-01-16,8.55%
2009-01-20,17.03%
2009-01-21,24.60%
2009-01-22,46.12%
2009-01-23,16.24%
2009-01-26,14.13%
2009-01-27,71.88%
2009-01-28,20.44%
2009-01-29,31.23%
2009-01-30,192.30%
2009-02-02,4.23%
2009-02-03,36.36%
2009-02-04,17.05%
2009-02-05,52.74%
2009-02-06,18.77%
2009-02-09,10.57%
2009-02-10,60.67%
2009-02-11,17.29%
2009-02-12,58.45%
2009-02-13,15.41%
2009-02-17,6.07%
2009-02-18,50.22%
2009-02-19,27.20%
2009-02-20,29.05%
2009-02-23,12.05%
2009-02-24,73.94%
2009-02-25,20.29%
2009-02-26,55.13%
2009-02-27,154.01%
2009-03-02,4.49%
2009-03-03,44.37%
2009-03-04,16.80%
2009-03-05,49.53%
2009-03-06,22.77%
2009-03-09,8.25%
2009-03-10,54.67%
2009-03-11,18.68%
2009-03-12,36.79%
2009-03-13,10.01%
2009-03-16,2.85%
2009-03-17,35.97%
2009-03-18,22.73%
2009-03-19,59.82%
2009-03-20,30.63%
2009-03-23,14.25%
2009-03-24,125.27%
2009-03-25,21.78%
2009-03-26,56.96%
2009-03-27,22.12%
2009-03-30,12.59%
2009-03-31,37.50%
2009-04-01,92.01%
2009-04-02,20.50%
2009-04-03,17.21%
2009-04-06,11.88%
2009-04-07,73.83%
2009-04-08,18.87%
2009-04-09,48.10%
2009-04-10,27.08%
2009-04-13,10.83%
2009-04-14,15.91%
2009-04-15,4.75%
2009-04-16,18.64%
2009-04-17,15.96%
2009-04-20,12.15%
2009-04-21,79.36%
2009-04-22,22.53%
2009-04-23,78.95%
2009-04-24,27.69%
2009-04-27,12.44%
2009-04-28,95.89%
2009-04-29,19.78%
2009-04-30,14.96%
2009-05-01,93.53%
2009-05-04,9.46%
2009-05-05,71.77%
2009-05-06,16.19%
2009-05-07,64.06%
2009-05-08,25.59%
2009-05-11,12.17%
2009-05-12,57.15%
2009-05-13,24.13%
2009-05-14,27.35%
2009-05-15,12.01%
2009-05-18,8.64%
2009-05-19,101.92%
2009-05-20,22.37%
2009-05-21,74.35%
2009-05-22,34.80%
2009-05-26,17.84%
2009-05-27,71.20%
2009-05-28,34.43%
2009-05-29,17.46%
2009-06-01,75.63%
2009-06-02,33.97%
2009-06-03,17.78%
2009-06-04,68.90%
2009-06-05,25.91%
2009-06-08,9.74%
2009-06-09,43.13%
2009-06-10,22.11%
2009-06-11,42.56%
2009-06-12,11.66%
2009-06-15,2.42%
2009-06-16,14.14%
2009-06-17,26.44%
2009-06-18,77.40%
2009-06-19,26.26%
2009-06-22,15.79%
2009-06-23,104.77%
2009-06-24,32.52%
2009-06-25,60.91%
2009-06-26,25.28%
2009-06-29,10.27%
2009-06-30,36.85%
2009-07-01,112.62%
2009-07-02,19.27%
2009-07-03,28.13%
2009-07-06,9.59%
2009-07-07,66.52%
2009-07-08,23.00%
2009-07-09,68.96%
2009-07-10,26.49%
2009-07-13,11.54%
2009-07-14,23.89%
2009-07-15,10.76%
2009-07-16,14.19%
2009-07-17,25.98%
2009-07-20,10.58%
2009-07-21,87.80%
2009-07-22,26.07%
2009-07-23,82.01%
2009-07-24,33.34%
2009-07-27,12.56%
2009-07-28,122.01%
2009-07-29,19.30%
2009-07-30,40.43%
2009-07-31,221.68%
2009-08-03,5.90%
2009-08-04,42.91%
2009-08-05,19.55%
2009-08-06,58.10%
2009-08-07,24.54%
2009-08-10,11.11%
2009-08-11,59.81%
2009-08-12,21.38%
2009-08-13,66.15%
2009-08-14,16.20%
2009-08-17,6.23%
2009-08-18,67.87%
2009-08-19,22.92%
2009-08-20,94.44%
2009-08-21,33.93%
2009-08-24,15.32%
2009-08-25,117.91%
2009-08-26,24.16%
2009-08-27,76.78%
2009-08-28,21.88%
2009-08-31,11.38%
2009-09-01,144.35%
2009-09-02,17.82%
2009-09-03,65.06%
2009-09-04,19.59%
2009-09-08,17.84%
2009-09-09,45.34%
2009-09-10,32.94%
2009-09-11,19.25%
2009-09-14,7.88%
2009-09-15,3.23%
2009-09-16,12.54%
2009-09-17,59.96%
2009-09-18,22.50%
2009-09-21,12.49%
2009-09-22,59.82%
2009-09-23,27.39%
2009-09-24,87.72%
2009-09-25,32.22%
2009-09-28,12.46%
2009-09-29,24.26%
2009-09-30,21.01%
2009-10-01,130.86%
2009-10-02,16.78%
2009-10-05,10.31%
2009-10-06,72.85%
2009-10-07,16.61%
2009-10-08,62.29%
2009-10-09,26.30%
2009-10-13,19.04%
2009-10-14,37.59%
2009-10-15,12.12%
2009-10-16,12.39%
2009-10-19,13.31%
2009-10-20,105.81%
2009-10-21,21.68%
2009-10-22,87.53%
2009-10-23,28.62%
2009-10-26,15.46%
2009-10-27,65.13%
2009-10-28,34.49%
2009-10-29,34.20%
2009-10-30,233.14%
2009-11-02,6.16%
2009-11-03,52.43%
2009-11-04,17.13%
2009-11-05,65.64%
2009-11-06,26.35%
2009-11-09,13.96%
2009-11-10,48.06%
2009-11-12,29.82%
2009-11-13,18.67%
2009-11-16,7.79%
2009-11-17,50.89%
2009-11-18,22.63%
2009-11-19,101.84%
2009-11-20,35.82%
2009-11-23,16.70%
2009-11-24,83.93%
2009-11-25,24.00%
2009-11-27,19.19%
2009-11-30,11.60%
2009-12-01,146.61%
2009-12-02,21.49%
2009-12-03,62.83%
2009-12-04,17.69%
2009-12-07,12.82%
2009-12-08,60.31%
2009-12-09,29.12%
2009-12-10,36.88%
2009-12-11,12.61%
2009-12-14,5.15%
2009-12-15,3.08%
2009-12-16,10.55%
2009-12-17,40.60%
2009-12-18,19.66%
2009-12-21,10.70%
2009-12-22,56.58%
2009-12-23,22.14%
2009-12-24,18.12%
2009-12-28,11.71%
2009-12-29,41.34%
2009-12-30,18.56%
2009-12-31,12.77%
2010-01-04,55.07%
2010-01-05,47.76%
2010-01-06,16.75%
2010-01-07,45.68%
2010-01-08,14.99%
2010-01-11,7.87%
2010-01-12,54.53%
2010-01-13,26.02%
2010-01-14,20.55%
2010-01-15,6.89%
2010-01-19,5.54%
2010-01-20,50.79%
2010-01-21,26.07%
2010-01-22,30.30%
2010-01-25,13.10%
2010-01-26,55.10%
2010-01-27,18.85%
2010-01-28,56.41%
2010-01-29,13.97%
2010-02-01,67.41%
2010-02-02,21.20%
2010-02-03,21.07%
2010-02-04,55.50%
2010-02-05,20.25%
2010-02-08,9.52%
2010-02-09,43.72%
2010-02-10,19.36%
2010-02-11,41.31%
2010-02-12,24.46%
2010-02-16,4.54%
2010-02-17,37.29%
2010-02-18,30.47%
2010-02-19,27.56%
2010-02-22,11.84%
2010-02-23,79.03%
2010-02-24,24.60%
2010-02-25,49.27%
2010-02-26,15.76%
2010-03-01,56.86%
2010-03-02,20.78%
2010-03-03,20.10%
2010-03-04,60.15%
2010-03-05,19.73%
2010-03-08,6.60%
2010-03-09,55.09%
2010-03-10,19.60%
2010-03-11,26.92%
2010-03-12,11.50%
2010-03-15,2.94%
2010-03-16,8.82%
2010-03-17,28.11%
2010-03-18,78.73%
2010-03-19,21.25%
2010-03-22,12.64%
2010-03-23,88.39%
2010-03-24,29.87%
2010-03-25,58.79%
2010-03-26,27.32%
2010-03-29,10.22%
2010-03-30,70.34%
2010-03-31,28.05%
